SBrightlanelat,SBrightlanelon,SBmiddlelanelat,SBmiddlelanelon,SBleftlanelat,SBleftlanelon,NBleftlanelat,NBleftlanelon,NBmiddlelanelat,NBmiddlelanelon,NBrightlanelat,NBrightlanelon
46.3971715,11.2972317479,46.3971770982,11.2972989748,46.3971715,11.2972317479,46.3971715,11.2972317479,46.3971715,11.2971887227,46.3971715,11.2972317479
46.397276,11.2973016639,46.3971770982,11.2973662017,46.397276,11.2973016639,46.397276,11.2973016639,46.3971715,11.2972559496,46.397276,11.2973016639
46.3972852593,11.297087,46.397276,11.2973801092,46.3972852593,11.297087,46.3972852593,11.297087,46.397276,11.2972591008,46.3972852593,11.297087
46.397376,11.2971488487,46.397276,11.297441958,46.397376,11.2971488487,46.397376,11.2971488487,46.397276,11.2973263277,46.397376,11.2971488487
46.397376,11.2972676303,46.3973871111,11.2974397311,46.397376,11.2972676303,46.397376,11.2972676303,46.397376,11.2973267899,46.397376,11.2972676303
46.397476,11.297329479,46.3973871111,11.2974988908,46.397476,11.297329479,46.397476,11.297329479,46.397376,11.2973940168,46.397476,11.297329479
46.397476,11.297429437,46.397491,11.2974993529,46.397476,11.297429437,46.397476,11.297429437,46.397476,11.2973864118,46.397476,11.297429437
46.397581,11.297502042,46.397491,11.2975585126,46.397581,11.297502042,46.397581,11.297502042,46.397476,11.2974536387,46.397581,11.297502042
46.397581,11.2974019412,46.3975978113,11.2975713529,46.397581,11.2974019412,46.397581,11.2974019412,46.397581,11.2974637899,46.397581,11.2974019412
46.39768,11.2974611008,46.3975978113,11.2976278235,46.39768,11.2974611008,46.39768,11.2974611008,46.397581,11.2975256387,46.39768,11.2974611008
46.39768,11.2975701933,46.39768372,11.2976347311,46.39768,11.2975701933,46.39768,11.2975701933,46.39768,11.2975271681,46.39768,11.2975701933
46.397773,11.2976347311,46.39768372,11.2976912017,46.397773,11.2976347311,46.397773,11.2976347311,46.39768,11.2975863277,46.397773,11.2976347311
46.397872,11.2975916303,46.397872,11.297761042,46.397872,11.2975916303,46.397872,11.2975916303,46.397872,11.2976481008,46.397872,11.2975916303
46.397971,11.297653479,46.397872,11.2978255798,46.397971,11.297653479,46.397971,11.297653479,46.397872,11.2977126387,46.397971,11.297653479
46.397971,11.2977685714,46.397971,11.2978357983,46.397971,11.2977685714,46.397971,11.2977685714,46.397971,11.2977228571,46.397971,11.2977685714
46.398058,11.2978223529,46.397971,11.297894958,46.398058,11.2978223529,46.398058,11.2978223529,46.397971,11.2977820168,46.398058,11.2978223529
46.3982660189,11.297724,46.3982678962,11.2979982857,46.3982660189,11.297724,46.3982660189,11.297724,46.398251,11.2978907227,46.3982660189,11.297724
46.3983505,11.2977750924,46.3982678962,11.2980574454,46.3983505,11.2977750924,46.3983505,11.2977750924,46.398251,11.2979525714,46.3983505,11.2977750924
46.3983505,11.2979056303,46.3983523519,11.2980777311,46.3983505,11.2979056303,46.3983505,11.2979056303,46.3983505,11.2979594118,46.3983505,11.2979056303
46.3984505,11.297967479,46.3983523519,11.2981422689,46.3984505,11.297967479,46.3984505,11.297967479,46.3983505,11.2980266387,46.3984505,11.297967479
46.3984505,11.2979518067,46.3984505,11.2981373529,46.3984505,11.2979518067,46.3984505,11.2979518067,46.3984505,11.2980244118,46.3984505,11.2979518067
46.398542,11.2980109664,46.3984505,11.2981965126,46.398542,11.2980109664,46.398542,11.2980109664,46.3984505,11.2980835714,46.398542,11.2980109664
46.398632,11.2982052605,46.398641375,11.2982482857,46.398632,11.2982052605,46.398632,11.2982052605,46.398632,11.2981407227,46.398632,11.2982052605
46.3987295,11.2982644202,46.398641375,11.2983074454,46.3987295,11.2982644202,46.3987295,11.2982644202,46.398632,11.2982025714,46.3987295,11.2982644202
46.3987480185,11.298039,46.3987313519,11.2983186639,46.3987480185,11.298039,46.3987480185,11.298039,46.3987295,11.2982084118,46.3987480185,11.298039
46.3988295,11.2980927815,46.3987313519,11.2983832017,46.3988295,11.2980927815,46.3988295,11.2980927815,46.3987295,11.2982729496,46.3988295,11.2980927815
46.398833217,11.298106,46.3988462264,11.2983937311,46.398833217,11.298106,46.398833217,11.298106,46.3988295,11.2982807899,46.398833217,11.298106
46.398928,11.2981651597,46.3988462264,11.2984528908,46.398928,11.2981651597,46.398928,11.2981651597,46.3988295,11.2983453277,46.398928,11.2981651597
46.399027,11.2984501261,46.399027,11.2985173529,46.399027,11.2984501261,46.399027,11.2984501261,46.399027,11.2983963445,46.399027,11.2984501261
46.399134,11.2985146639,46.399027,11.2985845798,46.399134,11.2985146639,46.399134,11.2985146639,46.399027,11.2984689496,46.399134,11.2985146639
46.3991654649,11.298308,46.399148807,11.2985769076,46.3991654649,11.298308,46.3991654649,11.298308,46.399134,11.2984720336,46.3991654649,11.298308
46.3992395,11.2983564034,46.399148807,11.2986441345,46.3992395,11.2983564034,46.3992395,11.2983564034,46.399134,11.2985392605,46.3992395,11.2983564034
46.39925625,11.298372,46.3992581111,11.2986462857,46.39925625,11.298372,46.39925625,11.298372,46.3992395,11.2985360336,46.39925625,11.298372
46.39934,11.2984230924,46.3992581111,11.2987054454,46.39934,11.2984230924,46.39934,11.2984230924,46.3992395,11.2986005714,46.39934,11.2984230924
46.39934,11.2986601933,46.3993418704,11.2987193529,46.39934,11.2986601933,46.39934,11.2986601933,46.39934,11.2986117899,46.39934,11.2986601933
